Date,Close,Open,High,Low,Vol.,Change %,,
"Aug 15, 2019",187.8,186.59,189.3,176.08,14.03M,0.66%,X,
"Aug 16, 2019",184.55,187.67,188.03,179.35,11.33M,-1.73%,X,
"Aug 17, 2019",184.81,184.55,186.12,181.58,8.78M,0.14%,X,
"Aug 18, 2019",193.68,184.83,197.17,182.96,9.11M,4.80%,X,
"Aug 19, 2019",201.64,193.67,202.81,192.33,8.14M,4.11%,X,
"Aug 20, 2019",196.14,201.65,201.96,194.55,10.01M,-2.73%,X,
"Aug 21, 2019",187.24,196.15,196.78,181.29,12.98M,-4.54%,X,
"Aug 22, 2019",190.29,187.27,194.42,182.97,9.97M,1.63%,X,
"Aug 23, 2019",193.43,190.29,195.32,175.8,8.56M,1.65%,X,
"Aug 24, 2019",190.15,193.42,193.47,186.13,8.38M,-1.70%,X,
"Aug 25, 2019",186.3,190.16,191.49,182.81,7.58M,-2.02%,X,
"Aug 26, 2019",188.34,186.32,193.09,186.02,9.02M,1.09%,X,
"Aug 27, 2019",186.58,188.36,188.61,184.26,7.19M,-0.93%,X,
"Aug 28, 2019",172.85,186.6,187.13,167.57,9.72M,-7.36%,X,
"Aug 29, 2019",168.66,172.85,173.05,164.04,9.55M,-2.43%,X,
"Aug 30, 2019",168.16,168.68,170.27,165.38,7.49M,-0.29%,X,
"Aug 31, 2019",171.62,168.14,174.43,166.16,7.89M,2.06%,X,
"Sep 01, 2019",169.72,171.62,173.22,167.08,7.80M,-1.11%,X,
"Sep 02, 2019",178.11,169.72,180.56,169.45,9.27M,4.94%,X,
"Sep 03, 2019",178.81,178.1,182.59,175.37,9.03M,0.39%,X,
"Sep 04, 2019",174.79,178.82,180.06,173.85,7.55M,-2.25%,X,
"Sep 05, 2019",173.83,174.8,175.56,170.54,7.40M,-0.55%,X,
"Sep 06, 2019",169.15,173.82,177.79,166.16,9.98M,-2.70%,X,
"Sep 07, 2019",177.74,169.14,180.63,168.42,9.05M,5.08%,X,
"Sep 08, 2019",181.44,177.76,183.42,177.36,8.34M,2.08%,X,
"Sep 09, 2019",180.65,181.45,184.76,176.25,9.64M,-0.44%,X,
"Sep 10, 2019",180.05,180.64,184.16,177.44,8.27M,-0.33%,X,
"Sep 11, 2019",178.47,180.05,182.27,174.86,10.66M,-0.88%,X,
"Sep 12, 2019",180.87,178.48,182.37,176.85,7.19M,1.35%,X,
"Sep 13, 2019",181.11,180.87,181.53,177.79,7.68M,0.13%,X,
"Sep 14, 2019",188.16,181.06,188.54,180.09,8.63M,3.89%,X,
"Sep 15, 2019",189.1,188.17,190.23,185.92,7.30M,0.50%,X,
"Sep 16, 2019",197.32,189.1,198.82,188.68,10.01M,4.35%,X,
"Sep 17, 2019",207.77,197.33,214.45,195.95,11.69M,5.29%,X,
"Sep 18, 2019",210.43,207.8,216.89,207.69,9.78M,1.28%,X,
"Sep 19, 2019",220.21,210.44,223.35,202.95,12.42M,4.65%,X,
"Sep 20, 2019",218,220.22,221.27,213.12,9.10M,-1.00%,X,
"Sep 21, 2019",215.22,218.01,221.17,213.71,8.69M,-1.28%,X,
"Sep 22, 2019",211.13,215.23,215.64,206.71,9.72M,-1.90%,X,
"Sep 23, 2019",201.18,211.16,211.76,199.82,9.65M,-4.71%,X,
"Sep 24, 2019",166.29,201.22,202.97,164.78,19.02M,-17.34%,X,
"Sep 25, 2019",168.92,166.29,174.26,162.12,13.88M,1.58%,X,
"Sep 26, 2019",164.56,168.93,169.81,153.17,11.97M,-2.58%,X,
"Sep 27, 2019",173.19,164.58,175.65,161.32,10.94M,5.24%,X,
"Sep 28, 2019",173.62,173.19,175.15,168.56,10.22M,0.25%,X,
"Sep 29, 2019",169.29,173.62,174.43,164.97,9.90M,-2.49%,X,
"Sep 30, 2019",180.35,169.28,180.52,165.59,11.93M,6.53%,X,
"Oct 01, 2019",175.78,180.36,184.95,174.03,11.88M,-2.54%,X,
